Key,City,Region,Longitude,Latitude
Afghanistan/Tir Pul,Tir Pul,Asia,61.268951,34.594311
Afghanistan/Tukzar,Tukzar,Asia,66.421318,35.948311
Afghanistan/Uruzgan,Uruzgan,Asia,66.63253,32.92775
Afghanistan/Yangi Qal'ah,Yangi Qal'ah,Asia,69.611313,37.465721
Afghanistan/Zarah Sharan,Zarah Sharan,Asia,68.79213,33.146412
Afghanistan/Zaranj,Zaranj,Asia,61.860371,30.95962
Afghanistan/Zarghun Shahr,Zarghun Shahr,Asia,68.445732,32.84734
Afghanistan/Zindah Jan,Zindah Jan,Asia,61.74675,34.34264
Albania/Durres,Durres,Europe,19.450001,41.299999
Algeria/'Ain El Turk,'Ain El Turk,Africa,-0.8,35.733334
Algeria/'Aïn Abid,'Aïn Abid,Africa,6.94333,36.231941
Algeria/'Aïn Benian,'Aïn Benian,Africa,2.92185,36.802769
Algeria/'Aïn Boucif,'Aïn Boucif,Africa,3.1585,35.891232
Algeria/'Aïn Deheb,'Aïn Deheb,Africa,1.54698,34.842178
Algeria/'Aïn Merane,'Aïn Merane,Africa,0.97037,36.162769
Algeria/'Aïn Temouchent,'Aïn Temouchent,Africa,-1.14037,35.297489
Algeria/'Aïn el Bell,'Aïn el Bell,Africa,3.22475,34.3438
Algeria/'Aïn el Berd,'Aïn el Berd,Africa,-0.51278,35.363949
Algeria/'Aïn el Hadjar,'Aïn el Hadjar,Africa,0.14528,34.758461
Algeria/'Aïn el Hammam,'Aïn el Hammam,Africa,4.30619,36.564709
Algeria/'Aïn el Melh,'Aïn el Melh,Africa,4.16383,34.841461
Algeria/Ababsa,Ababsa,Africa,0.72334,35.70697
Algeria/Abou el Hassan,Abou el Hassan,Africa,1.19616,36.416569
Algeria/Adrar,Adrar,Africa,-0.29388,27.87429
Algeria/Aflou,Aflou,Africa,2.116667,34.116665
Algeria/Ain Oussera,Ain Oussera,Africa,2.883333,35.516666
Algeria/Ain el Hadjel,Ain el Hadjel,Africa,3.88153,35.670029
Algeria/Akbou,Akbou,Africa,4.53494,36.4575
Algeria/Algiers,Algiers,Africa,3.25,36.716667
Algeria/Amizour,Amizour,Africa,4.90131,36.640221
Algeria/Ammi Moussa,Ammi Moussa,Africa,1.11143,35.867809
Algeria/Annaba,Annaba,Africa,7.816667,36.833332
Algeria/Aoulef,Aoulef,Africa,1.083333,26.966667
Algeria/Arbatache,Arbatache,Africa,3.37127,36.63773
Algeria/Arhribs,Arhribs,Africa,4.31158,36.79361
Algeria/Arris,Arris,Africa,6.34706,35.258808
Algeria/Azazga,Azazga,Africa,4.37222,36.74472
Algeria/Azzaba,Azzaba,Africa,7.10528,36.739441
Algeria/Aïn Arnat,Aïn Arnat,Africa,5.31347,36.186829
Algeria/Aïn Bessem,Aïn Bessem,Africa,3.67319,36.293331
Algeria/Aïn Beïda,Aïn Beïda,Africa,7.39278,35.796391
Algeria/Aïn Defla,Aïn Defla,Africa,1.9679,36.264061
Algeria/Aïn Fakroun,Aïn Fakroun,Africa,6.87374,35.971081
Algeria/Aïn Kercha,Aïn Kercha,Africa,6.69528,35.924721
Algeria/Aïn Sefra,Aïn Sefra,Africa,-0.58333,32.75
Algeria/Aïn Sidi Harrat,Aïn Sidi Harrat,Africa,0.71261,35.701118
Algeria/Aïn Smara,Aïn Smara,Africa,6.50135,36.267399
Algeria/Aïn Taya,Aïn Taya,Africa,3.28694,36.793331
Algeria/Aïn Touta,Aïn Touta,Africa,5.90001,35.376751
Algeria/Aïn el Bya,Aïn el Bya,Africa,-0.30178,35.80389
Algeria/Babor-Ville,Babor-Ville,Africa,5.5393,36.489941
Algeria/Baraki,Baraki,Africa,3.09606,36.66655
Algeria/Barbacha,Barbacha,Africa,4.96667,36.566669
Algeria/Barika,Barika,Africa,5.36584,35.389011
Algeria/Batna,Batna,Africa,6.183333,35.549999
Algeria/Bechar,Bechar,Africa,-2.25,31.65
Algeria/Ben Mehidi,Ben Mehidi,Africa,7.9064,36.769669
Algeria/Beni Amrane,Beni Amrane,Africa,3.59115,36.66774
Algeria/Beni Douala,Beni Douala,Africa,4.08282,36.619541
Algeria/Beni Mered,Beni Mered,Africa,2.86131,36.523891
Algeria/Beni Mester,Beni Mester,Africa,-1.42319,34.870449
Algeria/Beni Saf,Beni Saf,Africa,-1.38226,35.300991
Algeria/Bensekrane,Bensekrane,Africa,-1.22431,35.07465
Algeria/Berrahal,Berrahal,Africa,7.45333,36.835281
Algeria/Berriane,Berriane,Africa,3.7669,32.826481
Algeria/Berrouaghia,Berrouaghia,Africa,2.91085,36.135159
Algeria/Besbes,Besbes,Africa,7.84722,36.702221
Algeria/Bir el Ater,Bir el Ater,Africa,8.06024,34.744881
Algeria/Bir el Djir,Bir el Djir,Africa,-0.545,35.720001
Algeria/Birine,Birine,Africa,3.225,35.634998
Algeria/Birkhadem,Birkhadem,Africa,3.05002,36.714989
Algeria/Biskra,Biskra,Africa,5.733333,34.799999
Algeria/Blida,Blida,Africa,2.816667,36.5
Algeria/Boghni,Boghni,Africa,3.95306,36.542221
Algeria/Bordj Ghdir,Bordj Ghdir,Africa,4.89806,35.901112
Algeria/Bordj Zemoura,Bordj Zemoura,Africa,4.85668,36.27462
Algeria/Bordj el Kiffan,Bordj el Kiffan,Africa,3.19248,36.748711
Algeria/Bou Adjem,Bou Adjem,Africa,5.066667,36.716667
